Job Title,Job Location,Job Link,Job Date
Principal Data Platform Developer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Principal-Data-Platform-Developer-PA-19341/1174184000/,"May 31, 2024"
Principal Data Platform Developer,"Remote, IE
            
                +7 more…",https://jobs.bentley.com/job/Remote-Principal-Data-Platform-Developer/1174186800/,"May 31, 2024"
Geotechnical Technical Support Engineer,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Geotechnical-Technical-Support-Engineer-AB/1162163700/,"May 30, 2024"
Technical Support Engineer - ProjectWise,"MX
            
                +1 more…",https://jobs.bentley.com/job/Technical-Support-Engineer-ProjectWise/1150219300/,"May 30, 2024"
Data Scientist,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Data-Scientist-AB/1173849500/,"May 30, 2024"
Data Scientist,"Philadelphia, PA, US",https://jobs.bentley.com/job/Philadelphia-Data-Scientist-PA-19019/1173848800/,"May 30, 2024"
"Product Sales Engineer, Hydraulics and Hydrology (OpenFlows)","Sao Paulo, São Paulo, BR",https://jobs.bentley.com/job/Sao-Paulo-Product-Sales-Engineer%2C-Hydraulics-and-Hydrology-%28OpenFlows%29-S%C3%A3o/1173721800/,"May 30, 2024"
ProjectWise Senior Consultant,"Remote, MO, US",https://jobs.bentley.com/job/Remote-ProjectWise-Senior-Consultant-MO/1173679300/,"May 30, 2024"
Accountant,"Beijing Chaoyang District, BJ, CN",https://jobs.bentley.com/job/Beijing-Chaoyang-District-Accountant-BJ/1173484800/,"May 30, 2024"
Software Engineer II,"Pune, IN",https://jobs.bentley.com/job/Pune-Software-Engineer-II/1161615900/,"May 29, 2024"
Civil Consultant,"Mumbai, MH, IN",https://jobs.bentley.com/job/Mumbai-Civil-Consultant-MH/1161671400/,"May 29, 2024"
"Account Manager, Transportation","Remote, CA, US",https://jobs.bentley.com/job/Remote-Account-Manager%2C-Transportation-CA/1173015700/,"May 29, 2024"
Sales Development Representative,"Remote, BR",https://jobs.bentley.com/job/Remote-Sales-Development-Representative/1173019400/,"May 29, 2024"
Subscription Renewals Representative,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Subscription-Renewals-Representative-PA-19341/1172956000/,"May 29, 2024"
Sales Director (Mining),"Perth, WA, AU",https://jobs.bentley.com/job/Perth-Sales-Director-%28Mining%29-WA/1173123600/,"May 29, 2024"
IT Help Desk Specialist II,"Exton, PA, US",https://jobs.bentley.com/job/Exton-IT-Help-Desk-Specialist-II-PA-19341/1161284300/,"May 28, 2024"
Director of Infrastructure Policy Advancement,"Remote, CA",https://jobs.bentley.com/job/Remote-Director-of-Infrastructure-Policy-Advancement-ON/1161201100/,"May 28, 2024"
MicroStation/Reality modeling Consultant,"Philadelphia, PA, US
            
                +1 more…",https://jobs.bentley.com/job/Philadelphia-MicroStationReality-modeling-Consultant-PA-19019/1172759700/,"May 28, 2024"
Account Manager (Civil & Environment),GB,https://jobs.bentley.com/job/Account-Manager-%28Civil-&-Environment%29/1172525500/,"May 28, 2024"
License Compliance Specialist,"Delhi, IN",https://jobs.bentley.com/job/Delhi-License-Compliance-Specialist/1172483500/,"May 28, 2024"
Senior Product Manager,"Remote, CA",https://jobs.bentley.com/job/Remote-Senior-Product-Manager-ON/1127640900/,"May 27, 2024"
Software Quality Analyst II,"Pune, IN",https://jobs.bentley.com/job/Pune-Software-Quality-Analyst-II/1172289400/,"May 27, 2024"
Business Development Executive,"Delhi, IN
            
                +4 more…",https://jobs.bentley.com/job/Delhi-Business-Development-Executive/1092048600/,"May 26, 2024"
Software Engineer (mid),"Vilnius, LT
            
                +1 more…",https://jobs.bentley.com/job/Vilnius-Software-Engineer-%28mid%29/1126934700/,"May 26, 2024"
Sr Solution Consultant: Workday HCM,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Sr-Solution-Consultant-Workday-HCM-PA-19341/1127028900/,"May 26, 2024"
"Intern, Software Engineering","Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Intern%2C-Software-Engineering/1126923100/,"May 26, 2024"
"Manager, Marketplace Development","Pune, IN",https://jobs.bentley.com/job/Pune-Manager%2C-Marketplace-Development/1135016600/,"May 25, 2024"
Partner Enablement Manager,"Mexico DF, MX",https://jobs.bentley.com/job/Mexico-DF-Partner-Enablement-Manager/1137036300/,"May 25, 2024"
Technology Procurement Analyst,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Technology-Procurement-Analyst-AB/1148789800/,"May 25, 2024"
Senior NOC Analyst,"Manila, PH",https://jobs.bentley.com/job/Manila-Senior-NOC-Analyst/1160479600/,"May 25, 2024"
"Senior Director, Software Development","London, GB",https://jobs.bentley.com/job/London-Senior-Director%2C-Software-Development/1160529000/,"May 25, 2024"
Integration Engineer II,"Pune, IN",https://jobs.bentley.com/job/Pune-Integration-Engineer-II/1160143200/,"May 24, 2024"
Software Engineer II,"Pune, IN",https://jobs.bentley.com/job/Pune-Software-Engineer-II/1160029500/,"May 24, 2024"
UX Designer II,"Pune, IN",https://jobs.bentley.com/job/Pune-UX-Designer-II/1160004100/,"May 24, 2024"
Senior Software Developer,"Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Senior-Software-Developer/1159974100/,"May 24, 2024"
Senior Software Developer,"Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Senior-Software-Developer/1159971400/,"May 24, 2024"
Solution Consultant: Workday HCM,"Pune, IN",https://jobs.bentley.com/job/Pune-Solution-Consultant-Workday-HCM/1159965900/,"May 24, 2024"
Senior Incident Responder,"Pune, IN",https://jobs.bentley.com/job/Pune-Senior-Incident-Responder/1159361100/,"May 23, 2024"
Planon Consultant,"Pretoria, ZA
            
                +4 more…",https://jobs.bentley.com/job/Pretoria-Planon-Consultant/1171247400/,"May 23, 2024"
Senior Project Manager,"ZA
            
                +4 more…",https://jobs.bentley.com/job/Senior-Project-Manager/1171247100/,"May 23, 2024"
Planon Senior Consultant,"ZA
            
                +4 more…",https://jobs.bentley.com/job/Planon-Senior-Consultant/1171245000/,"May 23, 2024"
"Product Sales Engineer, Bridge Design","Remote, FL, US
            
                +1 more…",https://jobs.bentley.com/job/Remote-Product-Sales-Engineer%2C-Bridge-Design-FL/1158954600/,"May 22, 2024"
Senior Product Success Manager,"Kolkata, IN",https://jobs.bentley.com/job/Kolkata-Senior-Product-Success-Manager/1158748600/,"May 22, 2024"
Pre-Sales Engineer,"SOUTHBANK, VIC, AU
            
                +2 more…",https://jobs.bentley.com/job/SOUTHBANK-Pre-Sales-Engineer-VIC/1158828000/,"May 22, 2024"
Senior Contracts Negotiator,"Delhi, IN",https://jobs.bentley.com/job/Delhi-Senior-Contracts-Negotiator/1158694400/,"May 22, 2024"
Senior Visual Designer,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Senior-Visual-Designer-AB/1158999100/,"May 22, 2024"
Senior Workday Finance Consultant,US,https://jobs.bentley.com/job/Senior-Workday-Finance-Consultant/1170927500/,"May 22, 2024"
Senior Service Designer,"Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Senior-Service-Designer/1170686800/,"May 22, 2024"
Software Quality Analyst I,"Kolkata, IN",https://jobs.bentley.com/job/Kolkata-Software-Quality-Analyst-I/1170720500/,"May 22, 2024"
Software Quality Analyst I,"Kolkata, IN",https://jobs.bentley.com/job/Kolkata-Software-Quality-Analyst-I/1170720600/,"May 22, 2024"
Application Engineer,"Remote, PA, US",https://jobs.bentley.com/job/Remote-Application-Engineer-PA/1158314500/,"May 21, 2024"
Escalation Manager,"Mexico DF, MX",https://jobs.bentley.com/job/Mexico-DF-Escalation-Manager/1112654600/,"May 21, 2024"
"Manager, Technical Support","Manila, PH",https://jobs.bentley.com/job/Manila-Manager%2C-Technical-Support/1170190800/,"May 21, 2024"
UX Designer II,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-UX-Designer-II-AB/1170447900/,"May 21, 2024"
"Senior Manager, Voice of the Customer","Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Senior-Manager%2C-Voice-of-the-Customer/1169899600/,"May 20, 2024"
"Director, Energy Industry Marketing","US
            
                +1 more…",https://jobs.bentley.com/job/Director%2C-Energy-Industry-Marketing/1169902700/,"May 20, 2024"
"Director, Energy Industry Marketing","Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Director%2C-Energy-Industry-Marketing/1169901300/,"May 20, 2024"
"Application Engineer, Energy Utilities","North Sydney, NSW, AU
            
                +2 more…",https://jobs.bentley.com/job/North-Sydney-Application-Engineer%2C-Energy-Utilities-NSW/1135031000/,"May 19, 2024"
Operations Manager,"Mexico DF, MX",https://jobs.bentley.com/job/Mexico-DF-Operations-Manager/1135015500/,"May 19, 2024"
Technical Account Manager,"North Sydney, NSW, AU
            
                +2 more…",https://jobs.bentley.com/job/North-Sydney-Technical-Account-Manager-NSW/1135031600/,"May 19, 2024"
Senior Software Engineer,"Remote, PA, US",https://jobs.bentley.com/job/Remote-Senior-Software-Engineer-PA/1146877600/,"May 19, 2024"
"Director, Internal Communications",US,https://jobs.bentley.com/job/Director%2C-Internal-Communications/1122836600/,"May 18, 2024"
Associate Consultant,"Pune, IN",https://jobs.bentley.com/job/Pune-Associate-Consultant/1157489400/,"May 18, 2024"
"Field Marketing Manager, North America","Exton, PA, US",https://jobs.bentley.com/job/Exton-Field-Marketing-Manager%2C-North-America-PA-19341/1157581700/,"May 18, 2024"
Resident Consultant Engineer,"Remote, NJ, US",https://jobs.bentley.com/job/Remote-Resident-Consultant-Engineer-NJ-07830/1146375900/,"May 18, 2024"
Resident Consultant Engineer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Resident-Consultant-Engineer-PA-19341/1146360200/,"May 18, 2024"
Technology Procurement Analyst,"Remote, PA, US",https://jobs.bentley.com/job/Remote-Technology-Procurement-Analyst-PA/1134499300/,"May 18, 2024"
Sales Development Representative,"Kolkata, IN",https://jobs.bentley.com/job/Kolkata-Sales-Development-Representative/1157482500/,"May 18, 2024"
"Product Sales Engineer, Geotechnical","Delhi, IN",https://jobs.bentley.com/job/Delhi-Product-Sales-Engineer%2C-Geotechnical/1157482700/,"May 18, 2024"
Senior UX Researcher,"Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Senior-UX-Researcher/1157264500/,"May 17, 2024"
Incident Responder I,"Remote, PA, US",https://jobs.bentley.com/job/Remote-Incident-Responder-I-PA/1157345900/,"May 17, 2024"
"Application Engineer, Transportation","Seoul, KR",https://jobs.bentley.com/job/Seoul-Application-Engineer%2C-Transportation/1133988600/,"May 17, 2024"
Product Sales Engineer (Geotechnical),"Dublin 2, IE
            
                +3 more…",https://jobs.bentley.com/job/Dublin-2-Product-Sales-Engineer-%28Geotechnical%29/1156994600/,"May 17, 2024"
Application Engineer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Application-Engineer-PA-19341/1169436100/,"May 17, 2024"
Senior UX Designer,"Remote, CA, US",https://jobs.bentley.com/job/Remote-Senior-UX-Designer-CA/1169231700/,"May 17, 2024"
Application Engineer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Application-Engineer-PA-19341/1169465500/,"May 17, 2024"
DevOps (mid-level),"Warszawa, PL
            
                +1 more…",https://jobs.bentley.com/job/Warszawa-DevOps-%28mid-level%29/1169190100/,"May 17, 2024"
"Account Manager, Midmarket","., ID",https://jobs.bentley.com/job/_-Account-Manager%2C-Midmarket/1169060100/,"May 17, 2024"
"Account Manager, Enterprise","North Sydney, NSW, AU",https://jobs.bentley.com/job/North-Sydney-Account-Manager%2C-Enterprise-NSW/1168621500/,"May 16, 2024"
"Chief of Staff, Product Advancement","Remote, PA, US
            
                +4 more…",https://jobs.bentley.com/job/Remote-Chief-of-Staff%2C-Product-Advancement-PA/1168800900/,"May 16, 2024"
Senior .NET Software Developer,"Burlington, ON, CA",https://jobs.bentley.com/job/Burlington-Senior-_NET-Software-Developer-ON/1168975800/,"May 16, 2024"
"Technical Account Manager, Civil Engineering & Transportation","Remote, CA",https://jobs.bentley.com/job/Remote-Technical-Account-Manager%2C-Civil-Engineering-&-Transportation-ON/1168974100/,"May 16, 2024"
Senior Software Engineer,"Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Senior-Software-Engineer/1168619900/,"May 16, 2024"
Senior Software Engineer,"Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Senior-Software-Engineer/1168620100/,"May 16, 2024"
Senior Software Engineer,"Remote, AL, US",https://jobs.bentley.com/job/Remote-Senior-Software-Engineer-AL-35651/1168803300/,"May 16, 2024"
Sales Development Representative,"Remote, TX, US",https://jobs.bentley.com/job/Remote-Sales-Development-Representative-TX/1168973600/,"May 16, 2024"
Information Security Engineer I,"Remote, PA, US",https://jobs.bentley.com/job/Remote-Information-Security-Engineer-I-PA/1156395700/,"May 15, 2024"
Escalation Manager,"Manila, PH",https://jobs.bentley.com/job/Manila-Escalation-Manager/1111586400/,"May 15, 2024"
Technology Procurement Specialist,"Remote, IE",https://jobs.bentley.com/job/Remote-Technology-Procurement-Specialist/1168295200/,"May 15, 2024"
Data Engineer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Data-Engineer-PA-19341/1168226600/,"May 15, 2024"
Sales Assistant,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Sales-Assistant-PA-19341/1168157500/,"May 15, 2024"
Customer Success Manager,KZ,https://jobs.bentley.com/job/Customer-Success-Manager/1111178900/,"May 14, 2024"
Account Manager  (Mining),"Perth, WA, AU",https://jobs.bentley.com/job/Perth-Account-Manager-%28Mining%29-WA/1111240200/,"May 14, 2024"
Account Executive,"Denver, CO, US",https://jobs.bentley.com/job/Denver-Account-Executive-CO-80002/1155496100/,"May 14, 2024"
Enterprise Renewal Analyst,"Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Enterprise-Renewal-Analyst/1155617000/,"May 14, 2024"
HR Manager,"Remote, IE
            
                +1 more…",https://jobs.bentley.com/job/Remote-HR-Manager/1141620200/,"May 14, 2024"
"Senior Manager, UX","Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Senior-Manager%2C-UX-AB/1155909300/,"May 14, 2024"
Senior Customer Success Manager,"Perth, WA, AU",https://jobs.bentley.com/job/Perth-Senior-Customer-Success-Manager-WA/1167673300/,"May 14, 2024"
Principal Software Engineer,"Pune, IN",https://jobs.bentley.com/job/Pune-Principal-Software-Engineer/1120472100/,"May 13, 2024"
"VP, Field Marketing","Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-VP%2C-Field-Marketing/1144196400/,"May 12, 2024"
Solution Architect - Water,"Delhi, IN",https://jobs.bentley.com/job/Delhi-Solution-Architect-Water/1132394100/,"May 12, 2024"
Software Engineer II,"Pune, IN",https://jobs.bentley.com/job/Pune-Software-Engineer-II/1143998900/,"May 12, 2024"
Subscription Renewals Representative,HK,https://jobs.bentley.com/job/Subscription-Renewals-Representative/1143970200/,"May 12, 2024"
Software Engineer II (Automation),"Pune, IN",https://jobs.bentley.com/job/Pune-Software-Engineer-II-%28Automation%29/1109738000/,"May 11, 2024"
Senior Software Engineer,"Pune, IN",https://jobs.bentley.com/job/Pune-Senior-Software-Engineer/1153830300/,"May 11, 2024"
"Regional Account Manager, Enterprise","Charlotte, NC, US",https://jobs.bentley.com/job/Charlotte-Regional-Account-Manager%2C-Enterprise-NC-28201/1143580700/,"May 11, 2024"
Solutions Architect - IAM,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Solutions-Architect-IAM-PA-19341/1153731000/,"May 10, 2024"
Identity and Access Management Analyst,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Identity-and-Access-Management-Analyst-AB/1153737800/,"May 10, 2024"
Solutions Architect - IAM,"Home or Hybrid, CA",https://jobs.bentley.com/job/Home-or-Hybrid-Solutions-Architect-IAM-AB/1153727000/,"May 10, 2024"
Identity and Access Management Engineer,"Exton, PA, US",https://jobs.bentley.com/job/Exton-Identity-and-Access-Management-Engineer-PA-19341/1153735600/,"May 10, 2024"
Software Quality Engineer,"PL
            
                +1 more…",https://jobs.bentley.com/job/Software-Quality-Engineer/1166554700/,"May 10, 2024"
Quality Assurance Analyst,"Vilnius, LT",https://jobs.bentley.com/job/Vilnius-Quality-Assurance-Analyst/1166607300/,"May 10, 2024"
Technical Support Engineer,"Mexico DF, MX",https://jobs.bentley.com/job/Mexico-DF-Technical-Support-Engineer/1166195100/,"Jun 7, 2024"
Software Quality Analyst I,"Kolkata, IN",https://jobs.bentley.com/job/Kolkata-Software-Quality-Analyst-I/1166082700/,"Jun 7, 2024"
Senior Software Quality Assurance Engineer,"Jakarta, Jakarta, ID",https://jobs.bentley.com/job/Jakarta-Senior-Software-Quality-Assurance-Engineer-Jaka/1131026600/,"Jun 7, 2024"
Analyst Relations Director,"Dublin 2, IE
            
                +2 more…",https://jobs.bentley.com/job/Dublin-2-Analyst-Relations-Director/1166201600/,"Jun 7, 2024"
Technical Support Engineer,"Remote, CA, US",https://jobs.bentley.com/job/Remote-Technical-Support-Engineer-CA/1166111100/,"Jun 7, 2024"
Technical support Engineer,"Remote, BR",https://jobs.bentley.com/job/Remote-Technical-support-Engineer/1166194200/,"Jun 7, 2024"
Product Marketing Manager,"Dublin 2, IE",https://jobs.bentley.com/job/Dublin-2-Product-Marketing-Manager/1166081700/,"Jun 7, 2024"
Software Engineer,"GB
            
                +1 more…",https://jobs.bentley.com/job/Software-Engineer/1024236600/,"Jun 7, 2024"
Analyst Relations Director,"US
            
                +1 more…",https://jobs.bentley.com/job/Analyst-Relations-Director/1166198700/,"Jun 7, 2024"
Mid C# Backend Engineer,LT,https://jobs.bentley.com/job/Mid-C-Backend-Engineer/1176682100/,"Jun 7, 2024"
